VALUE,BPS_CODE,BPS_NAME,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,R,G,B,RED,GREEN,BLUE
-9999,-9999,Fill-NoData,-9999,-9999,-9999,255,255,255,1,1,1
-1111,-1111,Fill-Not Mapped,-1111,-1111,-1111,111,111,111,0.435294,0.435294,0.435294
11,11,Open Water,-9999,-9999,-9999,0,0,255,0,0,1
12,12,Perennial Ice/Snow,-9999,-9999,-9999,159,161,240,0.623529,0.631373,0.941176
31,31,Barren-Rock/Sand/Clay,-9999,-9999,-9999,191,191,191,0.74902,0.74902,0.74902
381,11250,Inter-Mountain Basins Big Sagebrush Steppe,100,-9999,-9999,255,115,223,1,0.45098,0.87451
383,10010,Inter-Mountain Basins Sparsely Vegetated Systems,-9999,-9999,-9999,255,255,190,1,1,0.745098
384,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,-9999,-9999,-9999,255,255,190,1,1,0.745098
385,10040,North American Warm Desert Sparsely Vegetated Systems,-9999,-9999,-9999,255,255,190,1,1,0.745098
386,11490,Western Great Plains Shortgrass Prairie,83,17,-9999,205,205,102,0.803922,0.803922,0.4
387,11470,Western Great Plains Foothill and Piedmont Grassland,87,13,-9999,137,205,102,0.537255,0.803922,0.4
388,10720,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,100,-9999,-9999,132,140,200,0.517647,0.54902,0.784314
389,10930,Southern Colorado Plateau Sand Shrubland,100,-9999,-9999,134,219,24,0.52549,0.858824,0.094118
390,11250,Inter-Mountain Basins Big Sagebrush Steppe,100,-9999,-9999,255,115,223,1,0.45098,0.87451
391,10860,Rocky Mountain Lower Montane-Foothill Shrubland,74,26,-9999,137,68,101,0.537255,0.266667,0.396078
392,10950,Apacherian-Chihuahuan Mesquite Upland Scrub,83,-9999,17,255,56,132,1,0.219608,0.517647
393,10760,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,100,-9999,-9999,229,69,99,0.898039,0.270588,0.388235
394,10780,Colorado Plateau Blackbrush-Mormon-tea Shrubland,53,47,-9999,52,155,207,0.203922,0.607843,0.811765
